Number,episode_id,episode_title,guest_name,guest_role,company_at_time,year,ai_era,woman_leader,ai_depth,career_stage,prior_big_tech,prior_founder,domain_product_strategy,domain_growth,domain_decision_making,domain_discovery_innovation,domain_career_leadership,domain_gtm,domain_data_ai,domain_org_team,domain_founder_mode,
25,aPM-25,Building Wiz: the fastest-growing startup in history,Raaz Herzberg,Chief Marketing Officer,Wiz,2024,transition,1,aware,exec,1,0,1,1,1,1,1,1,0,0,0,
26,aPM-26,4 questions Shreyas Doshi wishes he'd asked himself sooner,Shreyas Doshi,Founder,High Leverage Labs,2024,transition,0,none,founder,1,1,0,0,1,0,1,0,0,0,0,Check
27,aPM-27,"Meta's Head of Product (and 29th employee) on working with Mark Zuckerberg, early growth tactics, why PMs are like conductors, and more",Naomi Gleit,Head of Product,Meta,2024,transition,1,none,exec,1,0,1,1,1,0,1,0,0,1,0,
28,aPM-28,"Succeeding as an introvert, building zero-to-one, and why you should PM your career like you PM your product",Deb Liu,Board Member,Intuit,2024,transition,1,none,exec,1,0,1,0,1,1,1,0,0,0,0,
29,aPM-29,5 essential questions to craft a winning strategy,Roger Martin,Founder,Roger L. Martin,2024,transition,0,none,founder,0,1,1,0,1,0,0,0,0,0,0,Check
30,aPM-30,Building a world-class data org,Jessica Lachs,Chief Analytics Officer,DoorDash,2025,post_ai,1,operational,exec,0,1,0,0,1,0,0,0,1,1,0,Check
31,aPM-31,"Building product at Stripe: craft, metrics, and customer obsession",Jeff Weinstein,Product Lead,Stripe,2024,transition,0,none,senior_ic,1,1,1,1,1,1,1,0,0,0,0,Check
32,aPM-32,Making an impact through authenticity and curiosity,Ami Vora,Head of Product,Anthropic,2024,transition,0,ai_native,vp_head,1,0,1,0,1,0,1,0,0,1,0,
33,aPM-33,"Be fundamentally different, not incrementally better",Jag Duggal,Chief Product Officer,Nubank,2024,transition,0,none,exec,1,0,1,1,1,1,0,1,0,0,0,
34,aPM-34,Business strategy with Hamilton Helmer (author of 7 powers),Hamilton Helmer,Chief Investment Officer,Strategy Capital,2024,transition,0,none,exec,0,1,1,0,1,0,0,0,0,0,0,Check
35,aPM-35,This will make you a better decision maker,Annie Duke,Special Partner,First Round Capital,2024,transition,1,none,senior_ic,0,1,0,0,1,0,0,0,0,0,0,Check
36,aPM-36,"Vision, conviction and hype: How to build 0 to 1 inside a company",Mihika Kapoor,Founder,Design Nation,2024,transition,1,none,founder,1,1,1,0,1,1,0,0,0,1,0,Check
37,aPM-37,A framework for finding product-market fit,Todd Jackson,Partner,First Round Capital,2024,transition,0,none,senior_ic,1,1,1,1,1,1,0,0,0,0,1,
38,aPM-38,How Netflix builds a culture of excellence,Elizabeth Stone,Chief Technology Officer,Netflix,2024,transition,1,ai_native,exec,0,0,0,0,1,0,1,0,1,1,0,
39,aPM-39,"Lessons from Atlassian: Launching new products, getting buy-in, and staying ahead of the competition",Megan Cook,Head of Product,Canva,2024,transition,1,aware,vp_head,1,0,1,0,1,1,0,0,0,1,0,
40,aPM-40,Good Strategy/Bad Strategy,Richard Rumelt,President,General Imagination,2024,transition,0,none,founder,0,0,1,0,1,0,0,0,0,0,0,
41,aPM-41,How to be more innovative,Sam Schillace,Chief Vice-President,Microsoft,2024,transition,0,aware,vp_head,1,1,0,0,0,1,1,0,0,0,1,
42,aPM-42,The engineering mindset,Will Larson,Chief Technology Officer,Imprint,2024,transition,0,aware,exec,1,1,1,0,1,0,1,0,0,1,0,Check
43,aPM-43,The essence of product management,Christian Idiodi,Partner,Silicon Valley Product Group,2023,pre_ai,0,none,senior_ic,0,1,0,0,1,1,1,0,0,0,0,Check
44,aPM-44,Crafting a compelling product vision,Ebi Atawodi,Sr. Director of Product,Google,2023,pre_ai,1,none,senior_ic,1,1,1,0,1,0,1,0,0,1,0,Check
45,aPM-45,The future of AI in software development,Inbal Shani,Chief Product Officer,Twilio,2023,pre_ai,1,operational,exec,1,0,0,0,1,1,0,0,1,0,0,
46,aPM-46,"Billion dolalr failures, and billion dollar success",Tom Conrad,Chief Executive Officer,Sonos,2023,pre_ai,0,none,exec,1,0,1,0,1,0,1,0,0,0,1,Check
47,aPM-47,The ultimate guide to product operations,Melissa Perri,Founder,Product Institute,2023,pre_ai,1,none,founder,0,1,1,0,1,0,0,0,0,1,0,Check
48,aPM-48,"Marketplace lessons from Uber, Airbnb, Bumble and more",Ramesh Johari,Advisor,Boam,2023,pre_ai,0,none,senior_ic,1,0,1,1,1,0,0,0,1,0,0,
49,aPM-49,Mastering product strategy and growing as a pm,Maggie Crowley,VP of Product,Toast,2023,pre_ai,1,none,vp_head,1,0,1,0,1,0,1,0,0,0,0,
50,aPM-50,"Scaling Duolingo, embracing failure and insight into Latin America's tech scene",Gina Gotthilf,Chief Marketing Officer,Outsmart,2023,pre_ai,1,none,exec,1,1,0,1,1,0,1,1,0,0,0,Check
